"filename", "language", "Batch", "XML", "Makefile", "Ini", "Shell Script", "C++", "Lua", "C", "TeX", "LaTeX", "BibTeX", "CMake", "Markdown", "YAML", "Python", "reStructuredText", "Objective-C", "Objective-C++", "CSS", "HTML", "Less", "SCSS", "Groovy", "JavaScript", "comment", "blank", "total"
"d:\Projects\nodens-engine\Applications\Boids\Boids.vcxproj", "XML", 0, 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 150
"d:\Projects\nodens-engine\Applications\Boids\Makefile", "Makefile", 0, 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 27, 161
"d:\Projects\nodens-engine\Applications\Boids\imgui.ini", "Ini", 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 123
"d:\Projects\nodens-engine\Applications\Boids\src\Boids.cpp", "C++", 0, 0, 0, 0, 0, 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 36, 182
"d:\Projects\nodens-engine\Applications\Boids\src\Boids.h", "C++", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 67
"d:\Projects\nodens-engine\Applications\Boids\src\BoidsApp.cpp", "C++", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 21
"d:\Projects\nodens-engine\Applications\Boids\src\BoidsLayer.cpp", "C++", 0, 0, 0, 0, 0, 353, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 67, 509
"d:\Projects\nodens-engine\Applications\Boids\src\BoidsLayer.h", "C++", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 56
"d:\Projects\nodens-engine\Applications\ShallowWaters\Makefile", "Makefile", 0, 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 27, 161
"d:\Projects\nodens-engine\Applications\ShallowWaters\ShallowWaters.vcxproj", "XML", 0, 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 151
"d:\Projects\nodens-engine\Applications\ShallowWaters\imgui.ini", "Ini", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 36
"d:\Projects\nodens-engine\Applications\ShallowWaters\src\ShallowWatersApp.cpp", "C++", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 20
"d:\Projects\nodens-engine\Applications\ShallowWaters\src\ShallowWatersLayer.cpp", "C++", 0, 0, 0, 0, 0, 236, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 55, 310
"d:\Projects\nodens-engine\Applications\ShallowWaters\src\ShallowWatersLayer.h", "C++", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 51
"d:\Projects\nodens-engine\GenerateMakefile.bat", "Batch", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"d:\Projects\nodens-engine\GenerateVS22Projects.bat", "Batch", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"d:\Projects\nodens-engine\Makefile", "Makefile", 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23, 137
"d:\Projects\nodens-engine\Moxxi\Makefile", "Makefile", 0, 0, 236, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 27, 274
"d:\Projects\nodens-engine\Moxxi\Moxxi.vcxproj", "XML", 0, 365, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 365
"d:\Projects\nodens-engine\Moxxi\src\Moxxi.h", "C++", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 36
"d:\Projects\nodens-engine\Moxxi\src\Moxxi\Application.cpp", "C++", 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 19, 102
"d:\Projects\nodens-engine\Moxxi\src\Moxxi\Application.h", "C++", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 48
"d:\Projects\nodens-engine\Moxxi\src\Moxxi\Core.h", "C++", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 44
"d:\Projects\nodens-engine\Moxxi\src\Moxxi\Core\TimeStep.h", "C++", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"d:\Projects\nodens-engine\Moxxi\src\Moxxi\EntryPoint.h", "C++", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"d:\Projects\nodens-engine\Moxxi\src\Moxxi\Events\ApplicationEvent.h", "C++", 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 98
"d:\Projects\nodens-engine\Moxxi\src\Moxxi\Events\Event.h", "C++", 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 89
"d:\Projects\nodens-engine\Moxxi\src\Moxxi\Events\KeyEvent.h", "C++", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 56
"d:\Projects\nodens-engine\Moxxi\src\Moxxi\Events\MouseEvent.h", "C++", 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 100
"d:\Projects\nodens-engine\Moxxi\src\Moxxi\Input.h", "C++", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 26
"d:\Projects\nodens-engine\Moxxi\src\Moxxi\KeyCodes.h", "C++", 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 127
"d:\Projects\nodens-engine\Moxxi\src\Moxxi\Layer.cpp", "C++", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\Projects\nodens-engine\Moxxi\src\Moxxi\Layer.h", "C++", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 27
"d:\Projects\nodens-engine\Moxxi\src\Moxxi\LayerStack.cpp", "C++", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 42
"d:\Projects\nodens-engine\Moxxi\src\Moxxi\LayerStack.h", "C++", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 27
"d:\Projects\nodens-engine\Moxxi\src\Moxxi\Log.cpp", "C++", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"d:\Projects\nodens-engine\Moxxi\src\Moxxi\Log.h", "C++", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 38
"d:\Projects\nodens-engine\Moxxi\src\Moxxi\MouseButtonCodes.h", "C++", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 16
"d:\Projects\nodens-engine\Moxxi\src\Moxxi\Renderer\Buffer.cpp", "C++", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"d:\Projects\nodens-engine\Moxxi\src\Moxxi\Renderer\Buffer.h", "C++", 0, 0, 0, 0, 0, 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 138
"d:\Projects\nodens-engine\Moxxi\src\Moxxi\Renderer\Camera.cpp", "C++", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\Projects\nodens-engine\Moxxi\src\Moxxi\Renderer\Camera.h", "C++", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 20
"d:\Projects\nodens-engine\Moxxi\src\Moxxi\Renderer\ComputeShader.cpp", "C++", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 8
"d:\Projects\nodens-engine\Moxxi\src\Moxxi\Renderer\ComputeShader.h", "C++", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11
"d:\Projects\nodens-engine\Moxxi\src\Moxxi\Renderer\DirectionalLight.h", "C++", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"d:\Projects\nodens-engine\Moxxi\src\Moxxi\Renderer\GraphicsContext.h", "C++", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\Projects\nodens-engine\Moxxi\src\Moxxi\Renderer\Light.h", "C++", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"d:\Projects\nodens-engine\Moxxi\src\Moxxi\Renderer\OrthographicCamera.cpp", "C++", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33
"d:\Projects\nodens-engine\Moxxi\src\Moxxi\Renderer\OrthographicCamera.h", "C++", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 48
"d:\Projects\nodens-engine\Moxxi\src\Moxxi\Renderer\PerspectiveCamera.cpp", "C++", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 43
"d:\Projects\nodens-engine\Moxxi\src\Moxxi\Renderer\PerspectiveCamera.h", "C++", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 55
"d:\Projects\nodens-engine\Moxxi\src\Moxxi\Renderer\PointLight.h", "C++", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"d:\Projects\nodens-engine\Moxxi\src\Moxxi\Renderer\RenderCommand.cpp", "C++", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\Projects\nodens-engine\Moxxi\src\Moxxi\Renderer\RenderCommand.h", "C++", 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 52
"d:\Projects\nodens-engine\Moxxi\src\Moxxi\Renderer\Renderer.cpp", "C++", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 83
"d:\Projects\nodens-engine\Moxxi\src\Moxxi\Renderer\Renderer.h", "C++", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33
"d:\Projects\nodens-engine\Moxxi\src\Moxxi\Renderer\RendererAPI.cpp", "C++", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
