Date : 2022-09-03 16:37:23
Directory : d:\Projects\nodens-engine
Total : 2765 files,  623383 codes, 91567 comments, 84240 blanks, all 799190 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| C++              |      1,494 |    330,819 |     80,939 |     64,400 |    476,158 |
| HTML             |        699 |    143,955 |      3,478 |      6,891 |    154,324 |
| XML              |        239 |     76,274 |          8 |         14 |     76,296 |
| C                |         70 |     43,220 |      4,790 |      7,314 |     55,324 |
| Markdown         |         23 |      5,516 |          0 |      1,816 |      7,332 |
| JavaScript       |         96 |      5,238 |        104 |        176 |      5,518 |
| TeX              |          7 |      2,997 |        847 |        298 |      4,142 |
| Objective-C      |          5 |      2,920 |        343 |        707 |      3,970 |
| CSS              |          5 |      2,702 |         97 |        530 |      3,329 |
| CMake            |         44 |      2,182 |        305 |        486 |      2,973 |
| LaTeX            |          9 |      1,942 |         52 |        258 |      2,252 |
| Makefile         |         20 |      1,474 |        111 |        441 |      2,026 |
| YAML             |         12 |      1,391 |        100 |        237 |      1,728 |
| Objective-C++    |          6 |      1,317 |        289 |        318 |      1,924 |
| Lua              |          4 |        318 |          6 |         70 |        394 |
| SCSS             |          1 |        314 |         28 |         89 |        431 |
| Less             |          1 |        301 |         28 |         86 |        415 |
| BibTeX           |          1 |        132 |          0 |         13 |        145 |
| Ini              |          2 |        130 |          0 |         29 |        159 |
| Batch            |         15 |         95 |         14 |         22 |        131 |
| Groovy           |          3 |         52 |          0 |         10 |         62 |
| reStructuredText |          2 |         44 |          0 |         12 |         56 |
| Shell Script     |          5 |         26 |         26 |         13 |         65 |
| Python           |          2 |         24 |          2 |         10 |         36 |
+------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                   | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                      |      2,765 |    623,383 |     91,567 |     84,240 |    799,190 |
| Applications                                                                                                           |         14 |      1,567 |        150 |        281 |      1,998 |
| Applications\Boids                                                                                                     |          8 |        974 |        119 |        176 |      1,269 |
| Applications\Boids\src                                                                                                 |          5 |        599 |        108 |        128 |        835 |
| Applications\ShallowWaters                                                                                             |          6 |        593 |         31 |        105 |        729 |
| Applications\ShallowWaters\src                                                                                         |          3 |        291 |         20 |         70 |        381 |
| Moxxi                                                                                                                  |      2,158 |    478,173 |     56,258 |     54,288 |    588,719 |
| Moxxi\src                                                                                                              |         63 |      2,166 |         86 |        549 |      2,801 |
| Moxxi\src\Moxxi                                                                                                        |         46 |      1,480 |         37 |        358 |      1,875 |
| Moxxi\src\Moxxi\Core                                                                                                   |          1 |         17 |          0 |          4 |         21 |
| Moxxi\src\Moxxi\Events                                                                                                 |          4 |        260 |          7 |         76 |        343 |
| Moxxi\src\Moxxi\Renderer                                                                                               |         24 |        636 |          2 |        152 |        790 |
| Moxxi\src\Moxxi\imgui                                                                                                  |          3 |         92 |          7 |         28 |        127 |
| Moxxi\src\Platform                                                                                                     |         14 |        653 |         44 |        176 |        873 |
| Moxxi\src\Platform\OpenGL                                                                                              |         10 |        423 |         33 |        121 |        577 |
| Moxxi\src\Platform\Windows                                                                                             |          4 |        230 |         11 |         55 |        296 |
| Moxxi\vendor                                                                                                           |      2,093 |    475,406 |     56,161 |     53,712 |    585,279 |
| Moxxi\vendor\GLFW                                                                                                      |        144 |     81,575 |     16,895 |     11,421 |    109,891 |
| Moxxi\vendor\GLFW\CMake                                                                                                |         13 |        195 |         42 |         51 |        288 |
| Moxxi\vendor\GLFW\CMake\modules                                                                                        |          5 |         87 |         26 |         28 |        141 |
| Moxxi\vendor\GLFW\deps                                                                                                 |         24 |     44,820 |      6,416 |      3,941 |     55,177 |
| Moxxi\vendor\GLFW\deps\KHR                                                                                             |          1 |         99 |        156 |         28 |        283 |
| Moxxi\vendor\GLFW\deps\glad                                                                                            |          5 |     10,957 |        277 |        145 |     11,379 |
| Moxxi\vendor\GLFW\deps\mingw                                                                                           |          3 |      2,320 |        273 |        233 |      2,826 |
| Moxxi\vendor\GLFW\deps\vs2008                                                                                          |          1 |        152 |         55 |         41 |        248 |
| Moxxi\vendor\GLFW\deps\vulkan                                                                                          |          3 |      6,277 |         82 |      1,143 |      7,502 |
| Moxxi\vendor\GLFW\docs                                                                                                 |         10 |      1,907 |         68 |        308 |      2,283 |
| Moxxi\vendor\GLFW\examples                                                                                             |         10 |      2,693 |        825 |        794 |      4,312 |
| Moxxi\vendor\GLFW\include                                                                                              |          2 |        679 |      5,539 |        287 |      6,505 |
| Moxxi\vendor\GLFW\include\GLFW                                                                                         |          2 |        679 |      5,539 |        287 |      6,505 |
| Moxxi\vendor\GLFW\src                                                                                                  |         56 |     23,157 |      3,112 |      4,375 |     30,644 |
| Moxxi\vendor\GLFW\tests                                                                                                |         22 |      7,379 |        834 |      1,523 |      9,736 |
| Moxxi\vendor\glad                                                                                                      |          6 |      5,726 |        221 |        127 |      6,074 |
| Moxxi\vendor\glad\include                                                                                              |          2 |      3,692 |        185 |         47 |      3,924 |
| Moxxi\vendor\glad\include\KHR                                                                                          |          1 |        117 |        165 |         30 |        312 |
| Moxxi\vendor\glad\include\glad                                                                                         |          1 |      3,575 |         20 |         17 |      3,612 |
